distance,angle
1.102426813637423925e-01,0.000000000000000000e+00
1.093764731969568416e-01,8.000000000000000444e-01
1.141628059383728022e-01,1.600000000000000089e+00
1.133091728852701485e-01,2.400000000000000355e+00
1.120671154843531081e-01,3.200000000000000178e+00
1.125652571055920786e-01,4.000000000000000000e+00
1.156628466289644497e-01,4.800000000000000711e+00
1.129855564228693515e-01,5.600000000000000533e+00
1.159002238445613064e-01,6.400000000000000355e+00
1.155053316049441808e-01,7.200000000000000178e+00
1.173602538613254809e-01,8.000000000000000000e+00
1.148212439151986564e-01,8.800000000000000711e+00
1.172106110175487326e-01,9.600000000000001421e+00
1.154987653508185441e-01,1.040000000000000036e+01
1.226584003209090362e-01,1.120000000000000107e+01
1.238658787731080207e-01,1.200000000000000000e+01
1.228650382782695699e-01,1.280000000000000071e+01
1.234384709658089274e-01,1.360000000000000142e+01
1.242050860911406429e-01,1.440000000000000036e+01
1.236545349934297794e-01,1.520000000000000107e+01
1.225787048358380898e-01,1.600000000000000000e+01
1.292961454568713475e-01,1.680000000000000071e+01
1.272921844797480773e-01,1.760000000000000142e+01
1.309041498481214039e-01,1.840000000000000213e+01
1.297312707320550096e-01,1.920000000000000284e+01
1.345896425436554078e-01,2.000000000000000000e+01
1.291831767598373149e-01,2.080000000000000071e+01
1.343635502835958118e-01,2.160000000000000142e+01
1.314725522085558040e-01,2.240000000000000213e+01
1.386339710597228603e-01,2.320000000000000284e+01
1.417203115386118373e-01,2.400000000000000000e+01
1.479502450579542328e-01,2.480000000000000071e+01
1.346678055654423334e-01,2.560000000000000142e+01
1.412468859253232512e-01,2.640000000000000213e+01
1.452377503639424028e-01,2.720000000000000284e+01
1.448076133822264744e-01,2.800000000000000000e+01
1.574981505531720671e-01,2.880000000000000071e+01
1.572036101566396116e-01,2.960000000000000142e+01
1.534557587329332395e-01,3.040000000000000213e+01
1.562100791309150583e-01,3.120000000000000284e+01
1.620388398664182605e-01,3.200000000000000000e+01
1.627560901588431530e-01,3.280000000000000426e+01
1.690680145755768249e-01,3.360000000000000142e+01
1.692126243609133052e-01,3.439999999999999858e+01
1.675219909775410576e-01,3.520000000000000284e+01
1.753108701682858372e-01,3.600000000000000000e+01
1.796776534463419006e-01,3.680000000000000426e+01
1.824970107435421041e-01,3.760000000000000142e+01
1.891116887504700195e-01,3.840000000000000568e+01
1.855002050173469030e-01,3.920000000000000284e+01
1.984440681771937331e-01,4.000000000000000000e+01
2.021633625040116788e-01,4.080000000000000426e+01
2.047158309415823274e-01,4.160000000000000142e+01
2.095538329003200639e-01,4.240000000000000568e+01
2.167140695897645242e-01,4.320000000000000284e+01
2.276087885373163644e-01,4.400000000000000000e+01
2.264461303698625250e-01,4.480000000000000426e+01
2.366691022256698085e-01,4.560000000000000142e+01
2.421635859431955640e-01,4.640000000000000568e+01
2.507414427054053263e-01,4.720000000000000284e+01
2.680830027208825905e-01,4.800000000000000000e+01
2.736638593570090427e-01,4.880000000000000426e+01
2.916285900066814540e-01,4.960000000000000142e+01
2.979268515043020371e-01,5.040000000000000568e+01
3.204590950607593691e-01,5.120000000000000284e+01
3.503982112759986278e-01,5.200000000000000000e+01
3.659985157257696908e-01,5.280000000000000426e+01
3.851992249974400817e-01,5.360000000000000142e+01
4.110252376368179750e-01,5.440000000000000568e+01
4.753951929118352959e-01,5.520000000000000284e+01
3.510246800047254201e+00,5.600000000000000000e+01
3.659730166562625620e+00,5.680000000000000426e+01
3.545834637091638708e+00,5.760000000000000142e+01
